URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,bad_geocode,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost,energy_estimate_available,effective_cost_display
https://www.daft.ie/for-rent/apartment-8-glenamuck-manor-carrickmines-dublin-18/6074529,"8 Glenamuck Manor, Carrickmines, Dublin 18",2.0,2.0,Apartment,,2307.0,53.2426669,-6.1925481,11.381,5.986,3.904,4.468,10.92,11.834,10.586,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,12.735215966751774,1154.0,,,False,2307.0
https://www.daft.ie/for-rent/apartment-merchamp-seafield-road-east-clontarf-dublin-3/6135047,"Merchamp, Seafield Road East, Clontarf, Dublin 3",1.0,1.0,Apartment,C2,2800.0,53.3634764,-6.1944592,1.594,3.495,4.504,5.113,4.627,3.695,4.665,St Anne's Park,Dollymount Strand,Ben Dunne Gym Northside,Tesco Merrion,O'Connell St Stop,Connolly Station,Abbey Street Luas,False,4.626581166511528,2800.0,192.0,2992.0,True,2992.0
https://www.daft.ie/for-rent/apartment-7-oxford-road-dublin-6-ranelagh-dublin-6/6212046,"7 Oxford Road, Dublin 6, Ranelagh, Dublin 6",1.0,1.0,Studio,D2,2300.0,53.32477,-6.2577268,1.496,3.168,1.948,0.616,0.916,2.233,0.516,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,2.7884478103558394,2300.0,286.0,2586.0,True,2586.0
https://www.daft.ie/for-rent/house-palmerstown-avenue-palmerstown/6214534,"Palmerstown Avenue, Palmerstown, Dublin 20",4.0,2.0,House,,3200.0,53.3538462,-6.3713539,2.771,11.018,7.312,6.622,6.641,5.343,7.377,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,7.384611690446029,800.0,,,False,3200.0
https://www.daft.ie/for-rent/house-cherrywood-crescent-clondalkin-dublin-22/6204611,"Cherrywood Crescent, Clondalkin, Dublin 22",3.0,1.0,House,,2500.0,53.3174896,-6.4121757,6.996,13.451,10.274,9.836,10.449,8.643,10.308,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,St Stephen's Green Luas,False,10.705488723045336,833.0,,,False,2500.0
https://www.daft.ie/for-rent/house-saint-fintans-road-sutton-dublin-13/6218059,"Saint Fintan's Road, Sutton, Dublin 13",4.0,2.0,House,E2,3577.0,53.3660338,-6.2871668,3.016,6.527,3.117,1.102,1.152,2.149,2.584,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,2.537197279896237,894.0,368.0,3945.0,True,3945.0
https://www.daft.ie/for-rent/apartment-millpark-clondalkin-dublin-22/6189662,"Millpark, Clondalkin, Dublin 22",2.0,1.0,Apartment,,1787.0,53.3237702,-6.4004656,5.953,12.624,9.35,9.057,9.48,7.666,9.405,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Phibsborough Rd Stop,Heuston Station,St Stephen's Green Luas,False,9.746085604091052,894.0,,,False,1787.0
https://www.daft.ie/for-rent/house-59-stratford-haven-rathgar-dublin-6/6216281,"59 stratford haven, Rathgar, Dublin 6",2.0,2.0,House,BER Exempt,2133.0,53.3106721,-6.2734794,3.206,4.657,3.552,1.284,2.713,4.078,2.317,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,4.437975297553221,1066.0,,,False,2133.0
https://www.daft.ie/for-rent/apartment-6-tivoli-terrace-dun-laoghaire-co-dublin/5957533,"6 Tivoli Terrace, Dun Laoghaire, Co. Dublin",3.0,2.0,Apartment,BER Exempt,2995.0,53.2908552,-6.1415672,8.922,4.319,4.902,5.212,8.987,9.182,8.855,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,10.254492982512255,998.0,,,False,2995.0
https://www.daft.ie/for-rent/apartment--mountpleasant-avenue-upper-dublin-6-ranelagh-dublin-6/6219437,"Mountpleasant Avenue Upper, Dublin 6, Ranelagh, Dublin 6",1.0,1.0,Studio,C2,1966.0,53.3248586,-6.260548,1.487,3.352,1.913,0.512,0.935,2.288,0.529,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,False,2.773406023462124,1966.0,192.0,2158.0,True,2158.0
https://www.daft.ie/for-rent/apartment-oakview-way-hartstown-dublin-15-hartstown-dublin-15/6203795,"Oakview Way, Hartstown Dublin 15, Hartstown, Dublin 15",1.0,1.0,Studio,,1150.0,53.3924964,-6.4150016,6.901,15.281,11.179,10.068,10.112,9.624,11.329,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,False,11.308129904540586,1150.0,,,False,1150.0
