URL,Address,Bedrooms,Bathrooms,Property Type,BER Rating,Price (€),lat,lon,nearest_park_km_y,nearest_beach_km_y,nearest_gym_km_y,nearest_supermarket_km_y,nearest_bus_stop_km_y,nearest_rail_station_km_y,nearest_tram_stop_km_y,nearest_park_name_y,nearest_beach_name_y,nearest_gym_name_y,nearest_supermarket_name_y,nearest_bus_stop_name_y,nearest_rail_station_name_y,nearest_tram_stop_name_y,distance_to_city_centre_km,price_per_bedroom,energy_monthly_estimate,effective_monthly_cost
https://www.daft.ie/for-rent/apartment-the-pavilion-apartments-marine-road-dun-laoghaire-co-dublin/6163585,"Apartment 76, The Pavilion Apartments, Marine Road, Dun Laoghaire, Co. Dublin",2.0,2.0,Apartment,C2,2500.0,28.6314315,77.3054671,7076.533,7074.633,7080.643,7080.794,7082.552,7081.623,7082.583,St Anne's Park,Dollymount Strand,Ben Dunne Gym Northside,Tesco Merrion,O'Connell St Stop,Connolly Station,Abbey Street Luas,7082.542609981651,1250.0,140.0,2640.0
https://www.daft.ie/for-rent/apartment-one-bedroom-apartment-clancy-quay-by-kennedy-wilson-south-circular-road-dublin-8/2511233,"One Bedroom Apartment, Clancy Quay by Kennedy Wilson, South Circular Road, Dublin 8",1.0,1.0,Studio,A2,2045.0,44.9606245,14.9257539,1786.722,1777.495,1784.676,1785.26,1789.942,1789.83,1789.861,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,1790.8647280116993,2045.0,50.0,2095.0
https://www.daft.ie/for-rent/apartment-parnell-street-dublin-1/6152732,"Parnell Street, Dublin 1",1.0,1.0,Apartment,,2226.0,53.3502432,-6.2670304,1.439,4.417,0.955,1.301,0.449,1.356,0.452,St Stephen's Green,Sandymount Strand,FlyeFit Georges St,Aldi Phibsborough,O'Connell St Stop,Connolly Station,Abbey Street Luas,0.4494405222765715,2226.0,,
https://www.daft.ie/for-rent/apartment-apartment-4-park-house-ardilaun-court-dublin-8/6167033,"Apartment 4, Park House, Ardilaun Court, Dublin 8",1.0,1.0,House,BER Exempt,2200.0,-6.7755953,39.2027883,7922.553,7910.61,7917.12,7917.746,7923.616,7923.95,7923.409,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,7925.009691384354,2200.0,80.0,2280.0
https://www.daft.ie/for-rent/house-55-waterloo-road-ballsbridge-dublin-4-ballsbridge-dublin-4/6064926,"55 Waterloo Road, Dublin 4",4.0,3.0,House,BER Exempt,9950.0,53.3301475,-6.2451355,1.053,2.296,1.773,1.638,0.849,1.537,0.872,Merrion Square Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,2.4060262499568554,2487.5,80.0,10030.0
https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-occu-hayfield-churchview-road-killiney-co-dublin/5900743,"2 Bedroom Apartment, Occu Hayfield, Churchview Road, Killiney, Co. Dublin",2.0,2.0,Apartment,A2,2400.0,44.9951619,-83.8715598,5429.09,5437.577,5432.718,5432.382,5432.429,5431.854,5433.656,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,5433.629837921387,1200.0,50.0,2450.0
https://www.daft.ie/for-rent/apartment-1-bedroom-apartment-charlotte-apartments-honeypark-dun-laoghaire-co-dublin/2589785,"1 Bedroom Apartment, Charlotte Apartments, Honeypark, Dun Laoghaire, Co. Dublin",1.0,1.0,Apartment,A2,2075.0,48.8754729,2.2958503,773.485,762.163,768.945,769.565,775.154,775.365,774.981,St Anne's Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,776.4367917868648,2075.0,50.0,2125.0
https://www.daft.ie/for-rent/studio-apartment-redgap-rathcoole-co-dublin/6187590,"Redgap, Rathcoole, Co. Dublin",2.0,1.0,Studio,B1,1500.0,53.2665447,-6.4806287,14.177,19.25,16.718,15.598,16.597,15.408,16.351,Phoenix Park,Sandymount Strand,FlyeFit Georges St,Lidl Rathmines,Leeson St Lwr Stop,Heuston Station,Charlemont Luas,17.320304888594965,750.0,80.0,1580.0
https://www.daft.ie/for-rent/house-3-orby-court-the-gallops-leopardstown-dublin-18/6215410,"3 Orby Court, The Gallops, Leopardstown, Dublin 18",3.0,2.0,House,C3,3300.0,53.2652987,-6.2011117,8.821,6.349,1.36,1.967,8.394,9.268,8.075,Merrion Square Park,Killiney Beach,Raw Gyms Sandyford,SuperValu Balally,Leeson St Lwr Stop,Pearse Station,Charlemont Luas,10.185864174580743,1100.0,140.0,3440.0
https://www.daft.ie/for-rent/studio-apartment-9-bay-meadows-avenue-dublin-15-hollystown-dublin-15/6215718,"9 Bay Meadows Avenue, Dublin 15, Hollystown, Dublin 15",4.0,3.0,Studio,A2,1100.0,53.4224107,-6.3722839,7.818,14.915,9.106,9.473,9.532,9.953,11.019,Phoenix Park,Sandymount Strand,Ben Dunne Gym Northside,Aldi Phibsborough,Phibsborough Rd Stop,Heuston Station,Abbey Street Luas,10.97011704769306,275.0,50.0,1150.0
